District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
New London School District,Bennie Dover Jackson Middle School,Public Schools,0955111,36 Waller St.,New London,06320-5216,860-437-6480,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"36 Waller St.
New London, CT 06320-5216
(41.358579, -72.106743)"
Southington School District,Flanders Elementary School,Public Schools,1311311,100 Victoria Dr.,Southington,06489-2741,860-628-3372,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Victoria Dr.
Southington, CT 06489-2741
(41.61599, -72.850387)"
Lebanon School District,Lebanon Middle School,Public Schools,0715111,891 Exeter Rd.,Lebanon,06249-1742,860-642-4702,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"891 Exeter Rd.
Lebanon, CT 06249-1742
(41.626687, -72.237829)"
Regional School District 18,Mile Creek School,Regional Schools,2180212,205 Mile Creek Rd.,Old Lyme,06371,860-434-2209,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"205 Mile Creek Rd.
Old Lyme, CT 06371
(41.296683, -72.284132)"
Milford School District,West Shore Middle School,Public Schools,0845311,70 Kay Ave.,Milford,06460-5496,203-783-3553,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"70 Kay Ave.
Milford, CT 06460-5496
(41.192669, -73.098923)"
Weston School District,Hurlbutt Elementary School,Public Schools,1570111,9 School Rd.,Weston,06883-1623,203-557-5900,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"9 School Rd.
Weston, CT 06883-1623
(41.215894, -73.381727)"
Suffield School District,Suffield Middle School,Public Schools,1395111,350 Mountain Rd.,Suffield,06078-2078,860-668-3820,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"350 Mountain Rd.
Suffield, CT 06078-2078
(41.983646, -72.661489)"
Brooklyn School District,Brooklyn Middle School,Public Schools,0195111,119 Gorman Rd.,Brooklyn,06234-1805,860-774-9153,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"119 Gorman Rd.
Brooklyn, CT 06234-1805
(41.785534, -71.934586)"
Groton School District,Groton School District,Public School Districts,0590011,1300 Flanders Road,Mystic,06355,860-572-2100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1300 Flanders Road
Mystic, CT 06355
(41.386121, -72.006135)"
Meriden School District,Casimir Pulaski School,Public Schools,0801111,100 Clearview Ave.,Meriden,06450-6414,203-238-1273,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Clearview Ave.
Meriden, CT 06450-6414
(41.523296, -72.804491)"
Enfield School District,Edgar H. Parkman School,Public Schools,0491311,165 Weymouth Rd.,Enfield,06082-6200,860-253-6570,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"165 Weymouth Rd.
Enfield, CT 06082-6200
(41.948379, -72.570315)"
Trumbull School District,Daniels Farm School,Public Schools,1440811,710 Daniels Farm Rd.,Trumbull,06611-5539,203-452-4388,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"710 Daniels Farm Rd.
Trumbull, CT 06611-5539
(41.269397, -73.200197)"
Integrated Day Charter School District,Integrated Day Charter School,Public Charter Schools,2640113,68 Thermos Ave.,Norwich,06360,860-892-1900,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"68 Thermos Ave.
Norwich, CT 06360
(41.509745, -72.07715)"
Windham School District,Windham High School,Public Schools,1636111,355 High St.,Willimantic,06226-1306,860-465-2480,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"355 High St.
Willimantic, CT 06226-1306
(41.724031, -72.216111)"
Regional School District 12,The Burnham School,Regional Schools,2120112,80 Main St.,Bridgewater,06752-1518,860-354-5559,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"80 Main St.
Bridgewater, CT 06752-1518
(41.530759, -73.365345)"
Milford School District,Milford School District,Public School Districts,0840011,70 West River Street,Milford,06460,203-783-3402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"70 West River Street
Milford, CT 06460
(41.226647, -73.058954)"
Cheshire School District,Darcey School,Public Schools,0250211,1686 Waterbury Rd.,Cheshire,06410-1331,203-272-3577,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1686 Waterbury Rd.
Cheshire, CT 06410-1331
(41.536904, -72.940364)"
East Haven School District,Deer Run School,Public Schools,0440111,311 Foxon Rd.,East Haven,06512-1449,203-468-3324,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"311 Foxon Rd.
East Haven, CT 06512-1449
(41.324906, -72.833841)"
Guilford School District,Guilford Lakes School,Public Schools,0600211,40 Maupas Rd.,Guilford,06437-1615,203-453-5201,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Maupas Rd.
Guilford, CT 06437-1615
(41.32862, -72.687858)"
Waterbury School District,Woodrow Wilson School,Public Schools,1513211,235 Birch St.,Waterbury,06704,203-573-6660,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"235 Birch St.
Waterbury, CT 06704
(41.556046, -73.020601)"
Bridgeport School District,Interdistrict Discovery Magnet School,Public Schools,0153711,4510 Park Avenue,Bridgeport,06606,203-275-1801,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2010-08-26T00:00:00.000,1,"4510 Park Avenue
Bridgeport, CT 06606
(41.215, -73.234123)"
New Haven School District,New Haven School District,Public School Districts,0930011,54 Meadow Street,New Haven,06519,475-220-1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"54 Meadow Street
New Haven, CT 06519
(41.299897, -72.925866)"
Sharon School District,Sharon Center School,Public Schools,1250111,80 Hilltop Road,Sharon,06069,860-364-5153,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"80 Hilltop Road
Sharon, CT 06069
(41.882632, -73.473463)"
Department of Social Services,Department of Social Services,State Agencies,3320015,25 Sigourney Street,Hartford,06106,860-424-5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-07-01T00:00:00.000,0,"25 Sigourney Street
Hartford, CT 06106
(41.765363, -72.693903)"
Derby School District,Derby High School,Public Schools,0376111,75 Chatfield Street,Derby,06418,203-736-5032,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"75 Chatfield Street
Derby, CT 06418
(41.336536, -73.098033)"
New Britain School District,House of Arts Letters and Science (HALS)  Academy,Public Schools,0895411,30 Pendleton Rd.,New Britain,06053,860-826-1866,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2006-07-01T00:00:00.000,0,"30 Pendleton Rd.
New Britain, CT 06053
(41.694266, -72.770512)"
Norwich School District,John B. Stanton School,Public Schools,1041411,386 New London Tpke.,Norwich,06360-5337,860-823-4207,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"386 New London Tpke.
Norwich, CT 06360-5337
(41.522466, -72.103186)"
Voluntown School District,Voluntown Elementary School,Public Schools,1470111,195 Main Street,Voluntown,06384-0129,860-376-2325,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"195 Main Street
Voluntown, CT 06384-0129
(41.573712, -71.865342)"
Oxford School District,Oxford School District,Public School Districts,1080011,1 Great Hill Road,Oxford,06478,203-888-7754,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1 Great Hill Road
Oxford, CT 06478
(41.404161, -73.093027)"
Regional School District 10,Lake Garda Elementary School,Regional Schools,2100212,61 Monce Rd.,Burlington,06013-2540,860-673-2511,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"61 Monce Rd.
Burlington, CT 06013-2540
(41.740889, -72.907697)"
Middletown School District,Middletown School District,Public School Districts,0830011,311 Hunting Hill Avenue,Middletown,06457,860-638-1401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"311 Hunting Hill Avenue
Middletown, CT 06457
(41.541339, -72.647288)"
North Stonington School District,North Stonington School District,Public School Districts,1020011,311 Norwich/Westerly Road,North Stonington,06359,860-535-2800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"311 Norwich/Westerly Road
North Stonington, CT 06359
(41.439383, -71.887006)"
New Britain School District,Gaffney Elementary School,Public Schools,0890511,322 Slater Rd.,New Britain,06053-3458,860-225-6247,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"322 Slater Rd.
New Britain, CT 06053-3458
(41.675808, -72.811122)"
North Haven School District,Ridge Road Elementary School,Public Schools,1010311,1341 Ridge Rd.,North Haven,06473-3005,203-248-4050,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1341 Ridge Rd.
North Haven, CT 06473-3005
(41.371305, -72.896718)"
Milford School District,Calf Pen Meadow School,Public Schools,0840111,395 Welch's Point Rd.,Milford,06460-7502,203-783-3521,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"395 Welch's Point Rd.
Milford, CT 06460-7502
(41.213494, -73.028583)"
Judicial Centers,Girls Community Residential Program (PARC),State Agency Facilities,3480915,80 Prospect St.,Waterbury,06702,203-757-9939,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2009-05-14T00:00:00.000,0,"80 Prospect St.
Waterbury, CT 06702
(41.558796, -73.040698)"
Wilton School District,Middlebrook School,Public Schools,1615211,131 School Rd.,Wilton,06897-2507,203-762-8388,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"131 School Rd.
Wilton, CT 06897-2507
(41.202079, -73.432567)"
Unified School District #2,Unified School District #2,State Agencies,3470015,505 Hudson Street,Hartford,06106,860-550-6416,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"505 Hudson Street
Hartford, CT 06106
(41.757048, -72.678688)"
New Haven School District,Cooperative High School - Inter-District Magnet,Public Schools,0936411,177 College Street,New Haven,06511,475-220-2400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1987-07-01T00:00:00.000,1,"177 College Street
New Haven, CT 06511
(41.305646, -72.929894)"
Old Saybrook School District,Old Saybrook Middle School,Public Schools,1065211,60 Sheffield St.,Old Saybrook,06475-2307,860-395-3168,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,0,"60 Sheffield St.
Old Saybrook, CT 06475-2307
(41.290123, -72.37107)"
Windsor Locks School District,Windsor Locks Middle School,Public Schools,1655111,7 Center St.,Windsor Locks,06096-2312,860-292-5012,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"7 Center St.
Windsor Locks, CT 06096-2312
(41.926849, -72.633222)"
West Hartford School District,Wolcott School,Public Schools,1551511,71 Wolcott Rd.,West Hartford,06110-1764,860-561-2300,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"71 Wolcott Rd.
West Hartford, CT 06110-1764
(41.72526, -72.748131)"
Eastern Connecticut Regional Educational Service Center (EASTCONN),Eastern Connecticut Regional Educational Service Center (EASTCONN),Regional Education Service Center School Districts,2530014,376 Hartford Turnpike,Hampton,06247,860-455-0707,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"376 Hartford Turnpike
Hampton, CT 06247
(41.7711, -72.086612)"
New Fairfield School District,Meeting House Hill School,Public Schools,0910211,24 Gillotti Rd.,New Fairfield,06812-2525,203-312-5905,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"24 Gillotti Rd.
New Fairfield, CT 06812-2525
(41.461249, -73.498221)"
East Hartford School District,Dr. Franklin H. Mayberry School,Public Schools,0430611,101 Great Hill Rd.,East Hartford,06108-2833,860-622-5720,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"101 Great Hill Rd.
East Hartford, CT 06108-2833
(41.776131, -72.595744)"
Plymouth School District,Eli Terry Jr. Middle School,Public Schools,1115111,21 North Main Street,Terryville,06786-5328,860-314-2790,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"21 North Main Street
Terryville, CT 06786-5328
(41.679334, -73.009243)"
Bristol School District,Ivy Drive School,Public Schools,0171911,160 Ivy Dr.,Bristol,06010-3303,860-584-7844,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1998-07-01T00:00:00.000,0,"160 Ivy Dr.
Bristol, CT 06010-3303
(41.705922, -72.901043)"
Newtown School District,Head O'Meadow Elementary School,Public Schools,0970411,94 Boggs Hill Rd.,Newtown,06470-1915,203-426-7670,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"94 Boggs Hill Rd.
Newtown, CT 06470-1915
(41.382336, -73.313267)"
Stonington School District,Mystic Middle School,Public Schools,1375211,204 Mistuxet Ave.,Mystic,06355-3009,860-536-9613,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"204 Mistuxet Ave.
Mystic, CT 06355-3009
(41.358918, -71.944444)"
Hartford School District,Culinary Arts Academy at Weaver High School,Public Schools,0646011,150 Tower Avenue,Hartford,06112,860-695-1733,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2008-08-25T00:00:00.000,0,"150 Tower Avenue
Hartford, CT 06112
(41.797635, -72.670349)"
Regional School District 17,Haddam-Killingworth Middle School,Regional Schools,2175112,451 Route 81,Killingworth,06419,860-663-1241,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"451 Route 81
Killingworth, CT 06419
(41.385759, -72.564502)"
Norwalk School District,Brookside Elementary School,Public Schools,1030211,382 Highland Avenue,Norwalk,06854-3423,203-899-2830,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"382 Highland Avenue
Norwalk, CT 06854-3423
(41.090188, -73.437064)"
Westport School District,Long Lots School,Public Schools,1580711,13 Hyde Ln.,Westport,06880-3915,203-341-1910,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"13 Hyde Ln.
Westport, CT 06880-3915
(41.143824, -73.31512)"
Regional School District 15,Pomperaug School,Regional Schools,2150512,607 Main St.,Southbury,06488,203-264-8283,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"607 Main St.
Southbury, CT 06488
(41.493615, -73.212976)"
West Haven School District,Harry M. Bailey Middle School,Public Schools,1565111,106 Morgan Ln.,West Haven,06516-6299,203-937-4380,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"106 Morgan Ln.
West Haven, CT 06516-6299
(41.254377, -72.977775)"
Plainville School District,Middle School of Plainville,Public Schools,1105211,150 Northwest Dr.,Plainville,06062-1532,860-793-3250,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"150 Northwest Dr.
Plainville, CT 06062-1532
(41.684864, -72.888537)"
Naugatuck School District,Cross Street Intermediate School,Public Schools,0880211,120 Cross St.,Naugatuck,06770-4729,203-720-5227,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"120 Cross St.
Naugatuck, CT 06770-4729
(41.471594, -73.045067)"
Learn,Riverside Magnet School at Goodwin College,Regional Education Service Center Schools,2450314,29 Willowbrook Rd,East Hartford,06118,860-434-4800,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2013-07-01T00:00:00.000,1,"29 Willowbrook Rd
East Hartford, CT 06118
(41.745158, -72.639505)"
Rocky Hill School District,West Hill School,Public Schools,1190511,95 Cronin Dr.,Rocky Hill,06067-1106,860-258-7761,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"95 Cronin Dr.
Rocky Hill, CT 06067-1106
(41.660759, -72.682227)"
Connecticut Technical Education and Career System,J. M. Wright Technical High School,CT Technical Education and Career Schools,9002116,120 Bridge St.,Stamford,06905,203-324-7363,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2014-08-27T00:00:00.000,0,"120 Bridge St.
Stamford, CT 06905
(41.065519, -73.550692)"
Capitol Region Education Council,Academy of Aerospace and Engineering Elementary,Regional Education Service Center Schools,2410714,525 Brook Street,Rocky Hill,06067,860-529-1652,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2013-08-28T00:00:00.000,1,"525 Brook Street
Rocky Hill, CT 06067
(41.643181, -72.664333)"
Norwalk School District,Tracey School,Public Schools,1031411,20 Camp Street,Norwalk,06851-3797,203-899-2960,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"20 Camp Street
Norwalk, CT 06851-3797
(41.123986, -73.413926)"
Unified School District #1,Robinson Correctional Institution,State Agency Facilities,3361315,"285 Shaker Rd, P.O. Box 1400",Enfield,06082,860-253-8392,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"285 Shaker Rd, P.O. Box 1400
Enfield, CT 06082
(42.014366, -72.516488)"
Regional School District 05,Amity Regional High School,Regional Schools,2056112,25 Newton Rd.,Woodbridge,06525-1598,203-397-4830,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"25 Newton Rd.
Woodbridge, CT 06525-1598
(41.358864, -73.009908)"
Woodstock School District,Woodstock Elementary School,Public Schools,1690211,24 Frog Pond Rd.,Woodstock,06281-3009,860-928-0471,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"24 Frog Pond Rd.
Woodstock, CT 06281-3009
(41.943138, -71.962456)"
Mansfield School District,Dorothy C. Goodwin School,Public Schools,0780211,321 Hunting Lodge Rd.,Storrs,06268-1508,860-429-4630,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"321 Hunting Lodge Rd.
Storrs, CT 06268-1508
(41.818886, -72.283149)"
West Haven School District,Savin Rock Community School,Public Schools,1561411,50 Park St.,West Haven,06516-6052,203-931-6850,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"50 Park St.
West Haven, CT 06516-6052
(41.261808, -72.940236)"
Danbury School District,King Street Intermediate School,Public Schools,0341711,151 South King St.,Danbury,06811-3540,203-797-4761,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"151 South King St.
Danbury, CT 06811-3540
(41.423085, -73.501814)"
Wallingford School District,Dag Hammarskjold Middle School,Public Schools,1485211,106 Pond Hill Road,Wallingford,06492-4809,203-294-3700,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"106 Pond Hill Road
Wallingford, CT 06492-4809
(41.434185, -72.819869)"
Putnam School District,Putnam Middle School,Public Schools,1165111,35 Wicker St.,Putnam,06260-1443,860-963-6920,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"35 Wicker St.
Putnam, CT 06260-1443
(41.922002, -71.919335)"
Avon School District,Avon Middle School,Public Schools,0045111,375 West Avon Rd.,Avon,06001-2208,860-404-4770,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"375 West Avon Rd.
Avon, CT 06001-2208
(41.79116, -72.862902)"
Cheshire School District,Cheshire High School,Public Schools,0256111,525 South Main St.,Cheshire,06410-3198,203-250-2511,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"525 South Main St.
Cheshire, CT 06410-3198
(41.489624, -72.904683)"
Wethersfield School District,Wethersfield School District,Public School Districts,1590011,127 Hartford Avenue,Wethersfield,06109,860-571-8110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"127 Hartford Avenue
Wethersfield, CT 06109
(41.716904, -72.658059)"
New Haven School District,Mauro-Sheridan Magnet School,Public Schools,0931911,191 Fountain St.,New Haven,06515,475-220-2800,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2009-09-02T00:00:00.000,1,"191 Fountain St.
New Haven, CT 06515
(41.326999, -72.965762)"
Bolton School District,Bolton Center School,Public Schools,0120111,108 Notch Rd.,Bolton,06043-7498,860-643-2411,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"108 Notch Rd.
Bolton, CT 06043-7498
(41.775393, -72.442617)"
Southington School District,Plantsville Elementary School,Public Schools,1310611,70 Church Street,Southington,06479,860-628-3450,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"70 Church Street
Southington, CT 06479
(41.589331, -72.894435)"
Hartford School District,Naylor/CCSU Leadership Academy,Public Schools,0641411,639 Franklin Avenue,Hartford,06114-3030,860-695-4620,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"639 Franklin Avenue
Hartford, CT 06114-3030
(41.730999, -72.67424)"
Monroe School District,Monroe Elementary School,Public Schools,0850111,375 Monroe Tpke.,Monroe,06468,203-452-2870,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"375 Monroe Tpke.
Monroe, CT 06468
(41.309178, -73.221818)"
New London School District,Harbor,Public Schools,0950611,432 Montauk Avenue,New London,06320-4698,860-447-6040,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2014-08-25T00:00:00.000,,"432 Montauk Avenue
New London, CT 06320-4698
(41.335066, -72.10187)"
Clinton School District,Lewin G. Joel Jr. School,Public Schools,0270311,137A Glenwood Rd.,Clinton,06413-1425,860-664-6501,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"137A Glenwood Rd.
Clinton, CT 06413-1425
(41.303366, -72.523566)"
Bridgeport School District,Waltersville School,Public Schools,0153011,150 Hallett Street,Bridgeport,06608-2618,203-275-2400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"150 Hallett Street
Bridgeport, CT 06608-2618
(41.182108, -73.176236)"
Cheshire School District,Dodd Middle School,Public Schools,0255111,100 Park Place,Cheshire,06410-2145,203-272-3249,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"100 Park Place
Cheshire, CT 06410-2145
(41.510154, -72.90524)"
Guilford School District,A. Baldwin Middle School,Public Schools,0600711,68 Bullard Dr.,Guilford,06437-1553,203-457-0222,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"68 Bullard Dr.
Guilford, CT 06437-1553
(41.338773, -72.719403)"
